artist_name,artist_id,title,id,artist_hotttnesss
Boston Brass,ARSUCDL11F50C4E70B,On Green Dolphin Street,SOERAFW1311AFDD019,0.457062
Baden Powell,ARHVD441187B9B759D,Bachiana,SOIBDLF13766F7686B,0.513599
Aline Barros,ARQHBH81187B98C195,Deus que Move os C??us,SOIBFMV15119CFDB5D,0.568066
Emicida,ARPCELE126FC9C0EC9,Dedo Na Ferida (Live  at Espa??o Das Am??ricas - S??o Paulo - Brazil - 2012),SOHXNXN14239F3B894,0.661003
Na????o Zumbi,AR65UIK1187B9AC580,Pout Pourri: Da Lama ao Caos / Umbabarauma Ponta de Lan??a Africano,SOIQAHT1311AFE9E7C,0.54831
Marisa Monte,ARCEXLE1187FB3A93E,Segue o Seco,SOIAJJV12A81C204D1,0.706517
Ratos de Por??o,ARXFP7U1187FB472E6,Paran??ia Nuclear (Ao Vivo),SOEUJDL150DD59135F,0.581136
Bassnectar,AR3QU991187B9B2647,Cozza Frenzy,SOIAEGE13134387D53,0.615705
Venetian Snares,ARNCTJ91187B98D813,Chriohn,SOIANKP137A502F313,0.547658
Under This,ARPSEGS1241B9C4C40,Room to Breathe (feat. BBK) (Original Mix),SOHRUMO1462E42E4C1,0.501265
Jos?? Augusto,AR0CWSC1187B9AFE3F,Querer y Perder,SOIAYGX14D31EBC4BE,0.494861
Sonerien Du,ARW2Y3T1187B9B1A47,Les punaises,SOETRLK1423CE199FD,0.440932
Paul Anka,AR65T9K1187FB3842E,God Planned It That Way,SOHXWAL1371B843DB1,0.65688
Young Guns,ARFEZGM11F4C83DD64,John Brown,SOIADWL1312A8A86D0,0.584927
The Rolling Stones,ARFCUN31187B9AD578,Dead Flowers,SOHYVHE12A8C14483A,0.734121
Black Dyke Band,ARRBMFE1187B9A430F,"Freikugeln, Op. 326, Polka schnell",SOIAMPW14310FF13D8,0.494929
Al Bowlly,AR2DBFG1187B9A59FB,Goodnight Sweetheart,SOHYCIW1462F163947,0.490202
Richard Thompson,ARSTKIT1187B9A37A8,The New St George,SOHYURU12A8C14124D,0.552738
Bombay Bicycle Club,ARKZAYA1187FB56F00,Curl Up Like A Dead Leaf And Go Where The Wind Blows,SOERVNU12AB0182EC9,0.614401
The Beatles,AR6XZ861187FB4CECD,HELP! (SPY INTRO),SOHYDBW12C0DD04B8F,0.775545
Blur,ARKVITV1187B9AE854,Day Upon Day (Live),SOHXJVY13C1AEC10AB,0.658973
Aaron Tveit,ARFNIWW124549A3720,Seven Wonders EXCLUSIVE,SOIEUUK13926E35C07,0.568399
4hero,ARGQHYN1187FB3AEE1,202-4hero--star_chasers_(masters_at_work_remix)-dci,SOIBNYN1374008817B,0.53521
The Echo-Friendly,ARKCIJR130DCC6FB86,Analog Degradation,SOVABBV14639EE2334,0.499968
Skrillex,ARUAMGA123E29C15AD,With Your Friends (Long Drive),SOIEVTX13D5F5023D0,0.840568
Aborted,ARF041T1187FB3B4FF,Fecal Forgery,SOHYUYZ13AE858B544,0.588909
Fallujah,ARLOFHB1333D46420F,Hallncnation,SOIIAFK13B4CB3C248,0.545433
DJ Quicksilver,AR48J791187FB52CEF,New Life,SOERCRX13E891EFA70,0.546481
Aqua,AR7WSQE1187FB4CF08,Around The World (Dave Sears Club Mix),SOHXRIL13741150DBC,0.550799
The Monkees,ARY1LTC1187B9B1DC4,"Mary, Mary [Memorial Coliseum Portland, OR, August 26, 1967]",SOHYKQH1311AFE5235,0.581232
Mastilo,ARKXMKT1257509CCF6,Lubovta (Love),SOIBPBX1408EF69483,0.615408
St. Peter St. Paul Cathedral Choir of Minsk,ARGWITT12CEB275709,?????????????? ?? ????????????,SOIBSCD1315CD4985C,0.45956
?????????,ARWQ5781187B9909AC,My God,SOHYOSL14531D970D9,0.665725
Makke,AR1FM9M1187FB3EBC0,Cauldron 2-005,SOEULQV133A920CE75,0.482013
14 Iced Bears,ARSVQJO1187FB4FE4F,Hold On,SOHJRFN13105FA451B,0.516553
Peggy Lee,ARSC6WR1187FB40B18,Just In Time,SOHYMHV12AC3DF9EA1,0.647238
Bonsoir Catin,ARJMTHE122C8677662,Freetown Breakdown,SOHWOFO146380AEBB0,0.407526
Lord Kitchener,ARK1C8Z1187B9ABAAB,Those Were the Days,SOHYCWD13DC3A28617,0.493842
High Valley,AR7SEN311C8A414E87,Porches,SOIBEQH13E67077665,0.67105
JD ERA,ARGNJCK11EB9C82947,No Handouts (feat. Lokkz),SOEKTPO13E9AF8DC68,0.414185
Sam Roberts Band,ARZUROF12EBF655915,Distractions Aside,SOIAFUW1311AFDBCDD,0.551579
Kataklysm,ARU1LDO1187B9B19D2,Push the Venom (Live @ Summerbreeze),SOHZESH13B1CB4D0CB,0.559338
Carly Rae Jepsen,ARRWGYU12086C17800,LA Hallucinations,SOHVHNS14DF5910039,0.798568
Avril Lavigne,ARY53RR1187B9AE485,I Can Do Better,SOHZJKB144EE669340,0.690703
Joaqu??n Sabina,ARPE9VW1187B9B2398,A Vuelta De Correo,SOHZHCL1338A5D2F73,0.669836
Fosforito,ARAFWOX1187FB40FB0,De Noche Llorando (Soleares),SOHYFXR13EE8B8256F,0.485177
Caravan,AR6QMID1187FB53957,Strange Garden ???ver???2010???,SOHYHWI13FC538A588,0.519886
Gianni Vezzosi,ARRVZOQ1241B9CEA88,Occhi verdi,SOICFXZ1372FC31B93,0.469631
Mestre Acordeon,ARVETJA1187FB4EE4E,S??o Bento Grande,SOIUTKD12AF72A1AF5,0.482665
M.S. Subbulakshmi,ARQPCLH1187FB38B5E,Mamava Pattabhirama - M. S. Subbulakshmi,SOHYIFJ13152A70DCD,0.541272
Tut Tut Child,ARVADDL136F6F0C839,Hummingbird (feat. Augustus Ghost),SOHSIFI13EABC6E4F5,0.613529
Kesane Quartet,ARYQAYU11F50C4FB12,Janghi,SOIZRSJ1312A8AA7E0,0.335759
Chris Tomlin,ARER3QP1187B9A8DC4,I Will Follow (Medium Key Performance Track With Background Vocals),SOHYULZ130516DFBB8,0.702713
The Tulla Ceili Band,AR2O9281187FB46F8B,The Sailor On the Rock / Last Night's Fun / The Abbey Reel,SOHBXZN14CE4B21FC2,0.419539
Break of Reality,ARZDXAD11E8A2E28F7,Scarred By Duty,SOICKRY13134394952,0.525777
Clannad,ARPXDY61187B9AD0A8,You're The One (Remastered in 2003),SOIAIGV12A8AE47648,0.574072
Rum Rebellion,ARJDSMH122988FB0BB,Hell,SOHZAFJ1393CB77EDC,0.522734
Pogues,ARWKGJD11F50C4ECF9,The Parting Glass / Lord Santry's Fairest Daughter (Live at Brixton Academy London 21 or 22 December 2001),SOHZHAK12A8C13ADA4,0.654386
Ardak Balazhanova,ARHFZXI11F50C4FA46,Ardak Balazhanova,SOAXHKT1311AFDD91F,0.31648
Ceca,AR6ZO1H1187FB4DC49,Necu da Budem Ko Masina,SOEUUSU142B2DC4CFC,0.532432
Arcade Fire,ARFC93D1187FB49D2E,Reflektor - Radio Edit,SOIAOBD142D299AF45,0.714218
??dith Piaf,AR5O86P1187FB3B8CD,L'homme ?? la moto,SOHYDBG13B200DBDF0,0.676587
Ren??e Martel,ARVR3BX1187FB362E7,Bonsoir ch??rie,SOEUQFE14B19E32547,0.451342
Cobalt,AR1L9EV1187B9976F0,Words to Live by,SOHUUXI131677117A7,0.530525
Code Orange Kids,ARIPHHT1373E170F05,Choices (Love Is Love),SOEUWFF13B1F6F39B5,0.530098
Svart Crown,ARPFIKK122BCFCBE3B,Strength Higher Than Justice,SOGMIKJ1376C966900,0.493984
Frankie Knuckles,AR3X0GS1187FB3F714,Frankie Knuckles Presents Tales from Beyond the Tone Arm - The Classic Side - Full Length DJ Mix,SOESPLY14AF12CF514,0.569459
The Record Low,ARCQRBO12D5CD791ED,Here To Stay,SOGMUTA13EA8133381,0.425098
Jackie Wilson,ARHRKTK1187B99E1D5,My Empty Arms,SOHYALX13D8F4F8599,0.550906
Lighter Shade Of Brown,ARXPFF91187B988F9F,Hardcore Spirits,SOHZDFI131677113AC,0.570809
Kidz Bop Kids,ARULXDM1293C0280DF,Where'd You Go?,SOHZBSJ12AB017E7E0,0.705363
Francisca Valenzuela,ARMSIFW11EBCD7AFE0,Cr??nica,SOBLASQ13B46080D87,0.616211
Aksutique,ARDNVBB12AA0D8C825,This Is Our World,SOJTNZP146FEE643FE,0.444071
Triangle Sun,AR3FQ3U1187FB4070D,Mistery of Universe,SOGJPQU130516DF11F,0.522308
Massive Attack,ARNF13I1187FB562A5,Fake The Aroma,SOIASBL1311AFE0B18,0.671334
My 7sky,ARKPRZB13687E7215E,Farewell Summer (Original Mix),SOHZEQB13EAB3C8E42,0.420251
Mitis,ARSRFIA1343CFCE018,In Congress (Original Mix),SOJHBLZ13728BF94ED,0.601403
Washed Out,ARWOHDG122E6447E8D,Belong,SOHJRDN13A5BCB261D,0.705973
Carsick Cars,ARVWLC11187FB56F36,Zhi Yuan De Ren (????????????),SOICAHK12AB018D0DD,0.44803
Gao Qingkui,ARSDLGK11F4C83F58E,Executing Ma Ji,SOHIZGU12AB0181A16,0.263082
Guan Pinghu,ARQQXOM11F4C83F5DF,Liushui,SOTXUPS1468D9B32E2,0.414774
Jamesphoney,ARAPZZW1241B9C6B29,Water Climbing,SOCJXUR12AF72A543D,0.442744
Anamanaguchi,AR5P0MZ1187B9B2A14,Mess,SOHZQUO13D11C4B02D,0.591576
"Choir Of King's College, Cambridge",ARTECOV11F50C4A109,Book of Common Prayer: Bidding Prayer,SOHYKCD12A6D4F717C,0.536284
Pixinguinha,ARLQQ2K1187B990ADA,Corroca,SOERKLO1393A3F7F4F,0.518006
tobyMac,ARD66TF1187B9A1670,No Ordinary Love,SOHYKGC13167714B3A,0.681031
MercyMe,AR5JX5U1187FB52F2F,Go,SOETIQL1312A8AC4B7,0.653336
David Thulin,ARYAYTL12AA0D9135D,Wonder (feat. Jonathan Thulin),SOGLGXB1315CD42C06,0.483536
For Today,ARWMFZH11C8A4219E0,Nicodemus (The Seeker),SOHXJKT13776077A75,0.558835
LeCrae,ARKJBGA1187B9973AF,Blow Your High (feat. Canon),SOETQFS1315CD4F037,0.61123
Demon Hunter,ARQETJY1187FB3FE74,Incision,SOHZMXF13167715A49,0.576145
Relient K,ARYDTFO1187B99B1E0,Wake Up Call,SOIAJIV1315CD51E1B,0.632161
Frank Sinatra,ARTASUV1187B9A2B67,I'll Be Home For Christmas,SOHXKRQ142F12CA7DD,0.745919
Christmas Songs,AROSAOY11F33E00072,Deck the Halls,SOHXSDT13D7F1BEA99,0.575587
Alchemyst,ARCWYQD1264D12B94D,Dust,SOOLWCO148B953D95F,0.400774
Karl Leister,ARG1ZFT1187FB5BF9A,2. Adagio ma non troppo,SOEQWVD13271CB64A1,0.427944
Rex Williams,AR5GE0Z1187B9A351F,Rain,SOQHYQL147F63DE222,0.50414
Bart Ka??ll,ARNGM2T1187FB47B36,Verliefd Zijn,SOHKBUU151783F39F1,0.529686
?????????,ARQFAL91187B99904C,Bei Guo Zhi Chun Bei (Ri Wen),SOHYEDT137405E0907,0.500679
Los Visconti,ARLXVO91187B9B9D2C,Tu y mi guitarra,SOESJFO13602ECAFA6,0.495388
V??ra ??pinarov??,ARC8DKT119B8667EDB,Sn??n?? v pe??in??ch,SOESKEZ134EE36BFDB,0.4831
Danser med drenge,ARQZ0SI1187FB4870A,Alt for at beholde dig,SOEOEJF1313439FE39,0.523717
New Four,AROA9L21187B99AE80,"Meisje, Ik Ben Een Zeeman",SOETIMK14046B519DC,0.423581
Corinne Hermes,ARZ6NT71187B99DD52,Suffit d'y croire,SOGIPFH14B6C5B0861,0.453625
Taiska,ARSDMO81187FB3E152,Loitsukannel,SOETRXL12A8C13CB17,0.486736
Juice Leskinen & Coitus Int,ARDPSN21187B98ECBF,H??n hymyilee kuin lapsi,SOHDFER12AB0185884,0.483555
St??phanie,ARDYYZF1187FB58716,Set Fire to the Rain,SOIACWF14A5BCDC78C,0.491303
Sly & The Family Stone,ARDJZ181187B9B7FBF,SEX MACHINE,SOIBRSK137579940B7,0.691161
The Kingsmen,ARUYIJ01187FB51CF6,Annie Fanny,SOHYVXU13741444D9A,0.553858
Mino Reitano,ARY7CXN1187B9B4A3D,Non Te Ne Andare Via,SOETPXZ13134399D3C,0.464614
Hanne Krogh,AR0DC8R1187FB3E14B,Kj??rleik er (2010 Digital Remaster;),SOIAXTR133EB4DBE34,0.563692
Manuel Donayre,ARQD9PB1187B994298,Decepcion,SOIJTTR13152A72290,0.477378
Wojciech M??ynarski,AR8JP2M11C8A4158C6,Zapowiedz: Announcement 14,SOEQIRP130516E22C8,0.518653
The Maze,ARIVSI41187B9AF66B,Right Time - (previously Unreleased)Right Time (previously unissued),SOHXGAZ130516E21DB,0.473647
Led Zeppelin,ARDIBRT1187B9AF176,Your Time Is Gonna Come,SOHZNSV137332DF77D,0.784638
Verka serduchka,ARTV3ER1187B98AD07,Essen (Tim-Tim Taram),SOERAZT12AB0183144,0.492341
?????????€??????,ARRB40Z1187FB42AA6,?????????? ???€??-???€????????,SOHYNTG148A6B6720D,0.551108
Ren?? Carol,ARM99NU1187B9B8E04,Du Bist Wie Alle Andern,SOIAJSS13664C7481C,0.472671
Francesco De Masi,ARJGVC31187B9AE910,Mad Dog - Death At The Railway,SOHZGTE13719E7BE82,0.50979
Eldkvarn,ARAJQDC1187B991C31,Samma Sort,SOHZNMB14F827C31A2,0.514837
Nazan ??oray,ARF797V1187B994238,A??k??m Benim,SOHVZTD132C0270F8D,0.459393
Cecilia Todd,ARWEHSW1241B9C9610,Caramba,SOIBJGG13C215519B6,0.474808
