name,id,hotttnesss
Denis Matsuev,ARI0PEZ1187FB586E9,0.491009
Amsterdam Baroque Orchestra,ARDR3K91187B9B04EB,0.507735
Hans Zender,ARA7Y2Y1187B9B8588,0.365112
Keith Urban,ARK4ZEK1187B990A4F,0.779582
James Keelaghan,AROJNKE11EB9C8253F,0.495972
Ambrose Akinmusire,AR88F5X1187FB3EA17,0.530575
Herbie Hancock,ARNNM56119B86686EA,0.634031
Miles Davis,ARWT91C1187B9ACEAA,0.697302
Solemn Novena,ARRMZDE1269FB34E19,0.498933
A Filetta,ARWNO2J1187B99FB35,0.484108
Tim McGraw,ARINVBL1269FCD7480,0.782224
Taj Mahal,ARZ1PTN1187B9967D9,0.634229
George Strait,ARRX7Z01187B9AC449,0.763592
Kacey Musgraves,ARTLFQN11E2835CDD7,0.607905
Loretta Lynn,AR17W0S1187FB449BB,0.626515
Luke Bryan,AROOBSB122988FF3F7,0.802048
Neil Young,ARH95YN1187B9B2F0B,0.757458
Kedjevara,ARHLGDG11F4C846A37,0.488998
Urselle,AR3E8CU1187B9B1677,0.50212
Soulshifters,ARLKRFT11F50C4F267,0.448654
Gene Autry,ARPTWTH1187B9946A6,0.601107
Steve Earle,AROXJJJ1269FB3608C,0.611737
Star Fucking Hipsters,ARCZD3V1187B9B9BE8,0.528531
Jelena Rozga,ARDGFBU136F6F0C439,0.568464
Frequency Drift,ARWAGEN11F50C4827F,0.462654
D.R.I.,ARHPP631187B9A52E9,0.6048
Lil Jon,ARI4QF11187B9A3666,0.784921
Extreme Noise Terror,ARN29AC119B34034F7,0.527475
Utgard,AR1IVRT1187B99D88C,0.399476
Beny Mor??,ARXM7EH1187B9A023F,0.520406
Osmani Garcia,ARKU3Z61187FB51DCA,0.623465
La Sonora Dinamita,ARNHHIV1187FB4EA23,0.504169
Los Miticos Del Ritmo,ARVXV1J1187FB5BF88,0.467455
Junior Klan,ARNNQ9E1187FB3C82F,0.494969
Damas Gratis,AROYEOT12FE085E2E8,0.551347
Sybreed,ARS8LI91187B98ADE7,0.521057
Petr Skoumal,ARZWGDH1269FB36F48,0.510388
Tata Bojs,AR4EN09119B86693F9,0.49481
Smile Smile,ARAXXQ01187FB42BFA,0.455108
Rihanna,AR2KZ2E1187B988E46,0.830018
New Order,ARBNPKI121318C562B,0.710665
Foals,AR908YQ1187FB43998,0.728795
Sizzla,AR909261187FB4F3A4,0.572025
Nike Ardilla,ARSL3XF1187B9BA2B7,0.541825
Pede B,ARM5OQM1187B99FF03,0.500257
Hymns from Nineveh,AR64UKA1187FB55AA4,0.487488
Sinne Eeg,ARMHWLQ1187B99E28F,0.479773
Mads Langer,ARZ2B1F1187FB3EAAD,0.646383
Maria Montell,ARYWAN11187FB45CB4,0.499785
Larz-Kristerz,ARAVTIG12CEB274D1A,0.517794
Sie Gubba,ARZSRPA11F4C842F54,0.565897
Gustav Winckler,ARHRUOV119B34037C6,0.475644
Lustmord,ARMW20I1187B9A01CB,0.520201
Watain,ARBP94C1187B988EF7,0.586762
Amanda Palmer,ARLNRTO122BCFCCF27,0.581894
Filament 38,ARADTRO1187B9B19ED,0.375772
Omi,ARWCV901187B989F6E,0.846
Arve Henriksen,AROALJO1187B98DAAF,0.494799
Niereich,ARXROUH1241B9C5E03,0.478375
Chris Drifter,ARQHV6O1187FB45AA2,0.441079
Paraforce,AR5PCFT1187B9B7E71,0.452592
Diary of Dreams,ARYBMOJ11E2835F189,0.695493
SPL,ARRFLRW12F9DC11C24,0.524946
Chelsea Grin,ARJOLN11187B9AF563,0.605875
Morbid Angel,ARAIRHV12298900442,0.593339
Aborted,ARMYZH71187B98FDD9,0.588909
Get Set Go,AR6MA4Z1187FB3A367,0.489502
The Four Preps,ARWSWMB1264D1378DA,0.501331
Brandon Beal,ARB45GQ1187B98D2B4,0.660413
Max Corbacho,ARNOP621187B98FD58,0.476496
Bob van Asperen,ARFSAYP11F4C83B85C,0.488964
Samba de Rainha,ARQICTV12FA32379D5,0.443868
Ruby My Dear,AREQD801187B98AA22,0.474241
Octoberman,AROSFWR133F5CF77D6,0.480693
Kim Walker,ARPSBNP1257509C1E1,0.578249
Alfredo Piatti,ARZVGLX136E5710798,0.411845
Simon Le Grec,AR6TT111187B98AD72,0.500786
Miscosity,ARNRGGW1187B9A19D8,0.404626
DeGarmo & Key,ARZSLKB1373E1702D2,0.484667
Positively 13 O'Clock,ARYIRLL1257509E29E,0.432311
Blanca Uribe,ARU34AT1187B9A3C31,0.375039
Kurt Metzger,ARAH021119B8668A6C,0.497353
George Ducas,ARFXLJM11F50C49182,0.54009
Asher Monroe,ARZDVZR1269FB35C21,0.543016
Paraforce,ARDNHKO11EBCD7B7F5,0.452592
Helly Larson,ARSWJFR131E333F6A7,0.478483
Andrew Peret,AREL9S41187FB38F83,0.376793
Geeshie Wiley,ARRRETN1271F576668,0.462577
Peter Jacques Band,ARGGNKH1187FB5CB51,0.485334
Finnebassen,ARVFAKZ123E29C26F4,0.656766
Karneval!,ARLZWAO1252CCF9429,0.475651
SizeMix,ARYH89E1187FB53AEA,0.496384
Fernando Lagreca,AR6XVOW1187B9AB11F,0.476297
Kwest Tha Madd Lad,ARIOVWV11F4C843D07,0.445598
Alle Farben,ARSL4XO1187FB3ADBA,0.598826
Shannon James,ARRXDQM13559202F84,0.49697
Nuskulfunk,ARUR7CA1187B9B196C,0.480931
Red Foo,ARKKHSH12E9676D465,0.696121
Aktarum,ARZYX0Q1187B9A2BAC,0.493064
Han Bennink,AR4BWDK1187FB4396E,0.402946
SF Spanish Fly,ARRQEPJ1187FB46A01,0.413316
Deliriant,AR31Y6Y1187B99A541,0.466573
Sharon Jones and the Dap-Kings,AR7ML5Z1187B9963EE,0.581834
Jazzy Eyewear,AR9V4K21187FB4C9D2,0.471954
Sean T,AR9CL8611C8A42226E,0.410223
Tele,AROMVMA124207835C3,0.472863
Frau Potz,AROKINZ12AEE35957C,0.540899
Motorama,ARNMKA51187FB4D40D,0.550121
Clowny,ARYTTQW1187B9BA487,0.35476
50% of the Dreamteam,ARNTAEH11F50C4DEF7,0.390505
Circle One,ARHRLKU12DA0D14936,0.39443
J.T.S.,ARKKCQA12D9A2F108A,0.385
Dennis Ferrer,ARDKPFO12FE0878E18,0.5685
Ilaiyaraaja,AREFAMN12D5CD77221,0.666548
The Rest,ARZMIUP1187FB50567,0.502443
Thomas Tantrum,ARFLUOD12D5CD734C4,0.495226
Claire Fowler,ARDVWGS133C82C7FD4,0.416009
Saxophone,ARXCUXR1241B9CAD3B,0.45709
UZEB,ARVIPB81187B9953BB,0.472429
Frank Vignola,ARXEUTR1272BCD1DE2,0.46095
Helen Sung,ARVXZCE1187FB5A970,0.420133
Sol Pereyra,ARAG63C1187B999F8E,0.49417
Memro,AR8XTTW1187B9971D9,0.50091
Tokyo Prose,AREHBZI11F50C49294,0.517896
Fallen Joy,ARZ9GAP1187B98930A,0.480017
Electric Mary,ARJEHGW1241B9C87EF,0.487384
Purple Disco Machine,AREQV8J1187FB3B059,0.60851
Northlane,ARMZG9W1187FB39B7A,0.566071
Luigi Madonna,ARQWQWG13579952AF1,0.506172
The Twistin' Kings,ARYUONI12086C16EE7,0.411931
Supercraft,ARQVUTC12FE085DC05,0.41143
The Owl Service,ARZ3N6H1187FB583C0,0.50188
Fiat Lux,ARLPBZS12AF7DB146F,0.410269
Dalakopa,ARRIYXC122ECCBCE20,0.426105
Northern Soul,ARHRAGC1187B9A773F,0.496884
Richard Tucker,ARCFVBE1187B98ED21,0.468843
Finghin Collins,ARFYIDX1269FB271E1,0.523369
China Drum,ARTFPLW12CEB2759EF,0.490621
Sound the Alarm,ARZYKFM122ECCB774F,0.406373
Carousel Kings,ARUQD821187B9A8667,0.490255
The Mugwumps,ARVVWSJ12EC561DB51,0.411866
Cut Knob,ARZCL6J119B3402E30,0.423105
Global Experience,AR5MHD41187B98C895,0.504217
Reckless Ones,ARLYRSJ11E2835D34D,0.4718
Merkaba,ARWEYZO11F4C840A18,0.512655
The Rings,AR6RC3911C8A4158C3,0.404549
Little Lenny,ARV0Y171187B9BA14F,0.438108
Kader Japonais,AR4DMVB119B3403674,0.458075
Alfredo Olivas,ARJJTPO12D5CD77591,0.678409
Andrew Neu,ARTGGAK12B3B3532BC,0.485373
Pages,ARRILXM133B3F12416,0.501227
Brawther,ARP6DKX1187FB55C12,0.494194
Fernando Vel??zquez,ARWK10Q1187FB593E6,0.48181
Willie Hightower,ARIW30O1187FB5A29A,0.445571
??resund Space Collective,ARWQY4P1187FB406FE,0.50449
The Alberni String Quartet,ARQOSVO122ECCBB52A,0.35845
Sweet Velvet,AREWAAS1187B98C490,0.490074
The Madeira,AR1HKQE1187FB51FD4,0.481873
Anthelion,ARVSYXS11EBCD7B58F,0.496566
Jamie Lono,ARGQCDS124BAE72F30,0.480474
CamelPhat,ARGSTVF1271F574ABC,0.581281
Mortillery,ARLLT3I1187FB3DCD0,0.476477
Future,ARZNPPG1187FB4C845,0.750915
??zel,AR2EDEM1187FB573B1,0.456839
Ti??sto,ARQ3EJL1187B98BF06,0.821593
Jenna Drey,ARYKXSD1187B9A4DAD,0.441381
Amanda Carr,AR3TG3X1187FB4D577,0.425829
Robert Johnson,ARNAIMI1187FB5733C,0.605959
Bj??rn Lynne,ARTELJA1187FB364D3,0.471389
The Epilogues,ARZ5VKP1187FB3BB2F,0.464387
Exiled From Light,ARAJHQQ1187B98B369,0.518745
Tamikrest,ARIK8NZ1187B99EE71,0.504509
Mika Singh,ARMVTD41187B9A3360,0.705801
Duke Dumont,ARGO4RN1187B9B0BDA,0.808456
"Royce da 5'9""",AR7TDQ4119B86684AF,0.580614
Carl Craig,ARY7XSH1187B98CAF3,0.591313
David Hudson,ARV5B2D1187FB36ED1,0.433983
Atari Teenage Riot,AR0Y8SK1187B9AAE64,0.54454
Rick Ross,ARRUMOM11F50C51802,0.742523
Street Military,ARRB71R1187FB5751C,0.470612
Sister Sledge,AR9SHU11187B98A51D,0.650465
Martin Solveig,AREVVMT122BCFCCB70,0.803872
Nico Gemba,ARSGWJH11F50C4E0E7,0.465387
Red Nichols & His Five Pennies,ARKKNHS1187B9A3B49,0.472107
Periphery,ARG00DS1187B9ADFC8,0.631894
Juan Luis Guerra,ARYPTWE1187FB49D64,0.713184
The Cadillacs,ARAEZSI1187B9A8D1E,0.555291
Electric Wizard,ARU75JD1187FB38B79,0.576641
Mindustries,AR4R9BI1187FB44767,0.482303
Xi,AREZ8UC1187B99F1D2,0.554362
Bonobo,ARVLQBQ1187FB40FB4,0.671866
Saru,ARQMZUJ1187B997620,0.50204
Aydio,ARMDWND1187B9AEBE2,0.489109
Marx Brothers,ARZLWJ21187FB57513,0.499728
Mazzy Star,ARNBIUE1187FB3E846,0.627363
Copeland,ARDCVSK12FE0875915,0.597798
Aphex Twin,AR1UZKI1187B9B368C,0.61059
Fennesz,AR21EJD1187FB3B9A9,0.538936
John Fahey,ARTMPEE122BCFCD667,0.513119
Earth,ARX6MR511C8A42C159,0.580704
Robert Horton,ARNTMNA1187B9AD01D,0.343025
DJ Fresh,ARJKJKP11E2835E6D3,0.625205
ASC,ARZN0BZ1187B99F496,0.551366
Black Uhuru,AR9JUVH1187FB4019E,0.579709
Bvdub,ARPIMUK11F4C844516,0.512517
Benga,ARSQDUN1187B98D7D7,0.568294
Space Temple,ARFTMGO1187B9A777A,0.43402
DJ Smash,ARHAPGK1187FB45F99,0.580534
Beto y Sus Canarios,ARDUEGC122C8677436,0.514511
Diggy Dex,ARGVFOM1187B99F380,0.663364
Afrojack,AR4J4EW1187B9AB9EF,0.786855
Marco Borsato,AR59C9R1187B9A00F5,0.757846
Kensington,ARKTSTP1187FB51C66,0.733939
Neutral Milk Hotel,AR912GD1187B9B9B0F,0.588001
Guillaume Dufay,ARA5J2G1187B99C41E,0.522797
